,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
181,182,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,4,2,inf,341,322,1508.9,322.0
182,183,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,5,1,inf,325,314,1471.41,314.0
183,184,Technicien supérieur de la météorologie,B,1,1,inf,446,392,1836.92,392.0
184,185,Technicien supérieur de la météorologie,B,1,2,inf,461,404,1893.15,404.0
185,186,Technicien supérieur de la météorologie,B,1,3,inf,484,419,1963.44,419.0
186,187,Technicien supérieur de la météorologie,B,1,4,inf,513,441,2066.54,441.0
187,188,Technicien supérieur de la météorologie,B,1,5,inf,547,465,2179.0,465.0
188,189,Technicien supérieur de la météorologie,B,1,6,inf,573,484,2268.04,484.0
189,190,Technicien supérieur de la météorologie,B,1,7,inf,604,508,2380.5,508.0
190,191,Technicien supérieur de la météorologie,B,1,8,inf,638,534,2502.34,534.0
191,192,Technicien supérieur de la météorologie,B,1,9,inf,660,551,2582.0,551.0
192,193,Technicien supérieur de la météorologie,B,1,10,inf,684,569,2666.35,569.0
193,194,Technicien supérieur de la météorologie,B,1,11,inf,707,587,2750.7,587.0
194,195,Technicien supérieur de la météorologie,B,2,1,inf,389,356,1668.22,356.0
195,196,Technicien supérieur de la météorologie,B,2,2,inf,399,362,1696.34,362.0
196,197,Technicien supérieur de la météorologie,B,2,3,inf,415,369,1729.14,369.0
197,198,Technicien supérieur de la météorologie,B,2,4,inf,429,379,1776.0,379.0
198,199,Technicien supérieur de la météorologie,B,2,5,inf,444,390,1827.55,390.0
199,200,Technicien supérieur de la météorologie,B,2,6,inf,458,401,1879.1,401.0
200,201,Technicien supérieur de la météorologie,B,2,7,inf,480,416,1949.39,416.0
201,202,Technicien supérieur de la météorologie,B,2,8,inf,506,436,2043.11,436.0
202,203,Technicien supérieur de la météorologie,B,2,9,inf,528,452,2118.08,452.0
203,204,Technicien supérieur de la météorologie,B,2,10,inf,542,461,2160.26,461.0
204,205,Technicien supérieur de la météorologie,B,2,11,inf,567,480,2249.29,480.0
205,206,Technicien supérieur de la météorologie,B,2,12,inf,599,504,2361.76,504.0
206,207,Technicien supérieur de la météorologie,B,2,13,inf,638,534,2502.34,534.0
207,208,Technicien supérieur de la météorologie,B,3,1,inf,372,343,1607.31,343.0
208,209,Technicien supérieur de la météorologie,B,3,2,inf,379,349,1635.42,349.0
209,210,Technicien supérieur de la météorologie,B,3,3,inf,388,355,1663.54,355.0
210,211,Technicien supérieur de la météorologie,B,3,4,inf,397,361,1691.66,361.0
211,212,Technicien supérieur de la météorologie,B,3,5,inf,415,369,1729.14,369.0
212,213,Technicien supérieur de la météorologie,B,3,6,inf,431,381,1785.38,381.0
213,214,Technicien supérieur de la météorologie,B,3,7,inf,452,396,1855.67,396.0
214,215,Technicien supérieur de la météorologie,B,3,8,inf,478,415,1944.7,415.0
215,216,Technicien supérieur de la météorologie,B,3,9,inf,500,431,2019.68,431.0
216,217,Technicien supérieur de la météorologie,B,3,10,inf,513,441,2066.54,441.0
217,218,Technicien supérieur de la météorologie,B,3,11,inf,538,457,2141.51,457.0
218,219,Technicien supérieur de la météorologie,B,3,12,inf,563,477,2235.23,477.0
219,220,Technicien supérieur de la météorologie,B,3,13,inf,597,503,2357.07,503.0
220,221,Technicien du Ministère de la Transition écologique et solidaire,B,1,1,inf,446,392,1836.92,392.0
221,222,Technicien du Ministère de la Transition écologique et solidaire,B,1,2,inf,461,404,1893.15,404.0
222,223,Technicien du Ministère de la Transition écologique et solidaire,B,1,3,inf,484,419,1963.44,419.0
223,224,Technicien du Ministère de la Transition écologique et solidaire,B,1,4,inf,513,441,2066.54,441.0
224,225,Technicien du Ministère de la Transition écologique et solidaire,B,1,5,inf,547,465,2179.0,465.0
225,226,Technicien du Ministère de la Transition écologique et solidaire,B,1,6,inf,573,484,2268.04,484.0
226,227,Technicien du Ministère de la Transition écologique et solidaire,B,1,7,inf,604,508,2380.5,508.0
227,228,Technicien du Ministère de la Transition écologique et solidaire,B,1,8,inf,638,534,2502.34,534.0
228,229,Technicien du Ministère de la Transition écologique et solidaire,B,1,9,inf,660,551,2582.0,551.0
229,230,Technicien du Ministère de la Transition écologique et solidaire,B,1,10,inf,684,569,2666.35,569.0
230,231,Technicien du Ministère de la Transition écologique et solidaire,B,1,11,inf,707,587,2750.7,587.0
231,232,Technicien du Ministère de la Transition écologique et solidaire,B,2,1,inf,389,356,1668.22,356.0
232,233,Technicien du Ministère de la Transition écologique et solidaire,B,2,2,inf,399,362,1696.34,362.0
233,234,Technicien du Ministère de la Transition écologique et solidaire,B,2,3,inf,415,369,1729.14,369.0
234,235,Technicien du Ministère de la Transition écologique et solidaire,B,2,4,inf,429,379,1776.0,379.0
235,236,Technicien du Ministère de la Transition écologique et solidaire,B,2,5,inf,444,390,1827.55,390.0
236,237,Technicien du Ministère de la Transition écologique et solidaire,B,2,6,inf,458,401,1879.1,401.0
237,238,Technicien du Ministère de la Transition écologique et solidaire,B,2,7,inf,480,416,1949.39,416.0
238,239,Technicien du Ministère de la Transition écologique et solidaire,B,2,8,inf,506,436,2043.11,436.0
239,240,Technicien du Ministère de la Transition écologique et solidaire,B,2,9,inf,528,452,2118.08,452.0
240,241,Technicien du Ministère de la Transition écologique et solidaire,B,2,10,inf,542,461,2160.26,461.0
241,242,Technicien du Ministère de la Transition écologique et solidaire,B,2,11,inf,567,480,2249.29,480.0
