web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
1651682562-12312,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEBbis2,-,1 an,"5 131,20 €",A,,
1651680771-2056,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,3,883,720,2 ans,"3 373,94 €",A,,
1651682084-9247,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Chargé de mission au Ministère de l'Economie et des Finances,https://www.emploi-collectivites.fr/grille-indiciaire-etat-charge-mission-ministere-economie-finances/1/5276.htm,,,,,,,,
1651680778-2142,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du premier grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-premier-grade-ordre-judiciaire/1/5672.htm,7,HEB,-,1 an,"4 554,82 €",A,,
1651680752-1734,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire général du Conseil d'Etat-CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-general-conseil/1/5692.htm,1,HEBbis,-,1 an,"4 999,99 €",A,,
1651681743-7473,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'éducation nationale et de la Jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur-education-nationale-jeunesse/1/5627.htm,4,912,743,2 ans 6 mois,"3 481,72 €",A,,
1651680983-4454,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire général des Terres australes et antarctiques française,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-general-terres-australes-antarctiques-francaise/1/5657.htm,,,,,,,,
1651680771-2045,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEBbis,-,1 an,"4 999,99 €",A,,
1651682136-9484,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur des postes et télécommunications,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur-postes-telecommunications/1/5698.htm,,,,,,,,
1651680842-2998,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Chef de service éducatif de la protection judiciaire de la jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-service-educatif-protection-judiciaire-jeunesse/1/5683.htm,8,734,607,3 ans,"2 844,42 €",A,,
1651680771-2043,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,4,HEBbis,-,1 an,"4 999,99 €",A,,
1651682511-11948,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,13,597,503,-,"2 357,07 €",,B,
1651680771-2067,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEBbis3,-,-,"5 267,09 €",A,,
1651682511-11928,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,6,458,401,2 ans,"1 879,10 €",,B,
1651680771-2038,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEA2,-,8 mois,"4 334,57 €",A,,
1651682562-12334,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,1,542,461,6 mois,"2 160,26 €",A,,
1651680771-2068,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,1,441,388,1 an,"1 818,18 €",A,,
1651680771-2061,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEA3,-,1 an,"4 554,82 €",A,,
1651680771-2066,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEBbis2,-,1 an,"5 131,20 €",A,,
